n;A;alpha;R^2;suggested_partition;epsilon1;epsilon2
7;100;2;[0.915, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];115.03017651073833;0
7;100;3;[0.896, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];182.74316450601464;0
7;100;4;[0.881, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];239.20355258154768;0
7;100;5;[0.867, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];283.93741808250525;0
7;100;6;[0.856, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];318.42639046715294;0
7;100;7;[0.847, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];344.50145971587847;0
7;100;8;[0.839, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];363.8421390833619;0
7;100;9;[0.832, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6]];377.85240710628705;0
8;20;0;[1, 1, 1, 1, 1, 1, 1, 1];[[4, 5, 6, 7], [0, 2], [1, 3]];3.410605131648481e-13;0
8;20;1;[0.936, 0.937, 0.988, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];2.5361959550993163;0
8;20;2;[0.91, 0.923, 0.985, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];6.166178822015297;0
8;20;3;[0.886, 0.912, 0.983, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];10.061000891760699;0
8;20;4;[0.866, 0.903, 0.982, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];13.448600042618338;0
8;20;5;[0.848, 0.895, 0.98, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];16.238991096960433;0
8;20;6;[0.833, 0.889, 0.979, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];18.474142084280942;0
8;20;7;[0.82, 0.884, 0.978, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];20.232831784654195;0
8;20;8;[0.809, 0.88, 0.977, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];21.59642828798289;0
8;20;9;[0.8, 0.876, 0.977, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];22.637552297966096;0
8;100;0;[1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 6, 7], [5]];9.094947017729282e-12;0
8;100;1;[0.936, 0.937, 0.988, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];63.40489887748481;0
8;100;2;[0.91, 0.923, 0.985, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];154.1544705503834;0
8;100;3;[0.886, 0.912, 0.983, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];251.52502229401898;0
8;100;4;[0.866, 0.903, 0.982, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];336.2150010654582;0
8;100;5;[0.848, 0.895, 0.98, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];405.97477742401225;0
8;100;6;[0.833, 0.889, 0.979, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];461.85355210702346;0
8;100;7;[0.82, 0.884, 0.978, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];505.82079461635476;0
8;100;8;[0.809, 0.88, 0.977, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];539.9107071995722;0
8;100;9;[0.8, 0.876, 0.977, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7]];565.938807449153;0
9;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 4, 5, 8], [2, 6], [3, 7]];4.547473508864641e-13;0
9;20;1;[0.914, 0.935, 0.965, 0.996, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];3.2092070988533123;0
9;20;2;[0.881, 0.918, 0.959, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];8.85546221637162;0
9;20;3;[0.85, 0.904, 0.953, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];14.553106043168995;0
9;20;4;[0.824, 0.892, 0.949, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];19.592738717172836;0
9;20;5;[0.8, 0.883, 0.945, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];23.819311258783273;0
9;20;6;[0.781, 0.875, 0.942, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];27.270303392858096;0
9;20;7;[0.763, 0.868, 0.94, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];30.042312525923492;0
9;20;8;[0.748, 0.863, 0.937, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];32.24130662315528;0
9;20;9;[0.735, 0.858, 0.935, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];33.96494334287273;0
9;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1];[[1, 2, 3, 4, 8], [0, 6, 7], [5]];8.640199666842818e-12;0
9;100;1;[0.914, 0.935, 0.965, 0.996, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];80.23017747133281;0
9;100;2;[0.881, 0.918, 0.959, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];221.38655540928812;0
9;100;3;[0.85, 0.904, 0.953, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];363.8276510792248;0
9;100;4;[0.824, 0.892, 0.949, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];489.8184679293222;0
9;100;5;[0.8, 0.883, 0.945, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];595.4827814695846;0
9;100;6;[0.781, 0.875, 0.942, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];681.7575848214524;0
9;100;7;[0.763, 0.868, 0.94, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];751.057813148087;0
9;100;8;[0.748, 0.863, 0.937, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];806.0326655788813;0
9;100;9;[0.735, 0.858, 0.935, 0.995, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8]];849.1235835718194;0
10;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 3, 5], [2, 4, 9], [6, 7, 8]];7.958078640513122e-13;0
10;20;1;[0.914, 0.923, 0.959, 0.992, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];3.857124042324358;0
10;20;2;[0.879, 0.903, 0.949, 0.991, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];10.47792720698311;0
10;20;3;[0.845, 0.886, 0.94, 0.99, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];17.44749547402607;0
10;20;4;[0.815, 0.873, 0.933, 0.989, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];23.754935561951783;0
10;20;5;[0.789, 0.861, 0.927, 0.989, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];29.16213979582878;0
10;20;6;[0.766, 0.852, 0.922, 0.988, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];33.67399685989098;0
10;20;7;[0.745, 0.844, 0.918, 0.988, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];37.37939582859674;0
10;20;8;[0.728, 0.837, 0.915, 0.987, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];40.38850013402721;0
10;20;9;[0.712, 0.831, 0.912, 0.987, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];42.80845616709331;0
10;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[1, 2, 3, 4, 5, 6, 7, 8, 9], [0]];2.546585164964199e-11;0
10;100;1;[0.914, 0.923, 0.959, 0.992, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];96.42810105810622;0
10;100;2;[0.879, 0.903, 0.949, 0.991, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];261.94818017457783;0
10;100;3;[0.845, 0.886, 0.94, 0.99, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];436.1873868506523;0
10;100;4;[0.815, 0.873, 0.933, 0.989, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];593.8733890487943;0
10;100;5;[0.789, 0.861, 0.927, 0.989, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];729.0534948957188;0
10;100;6;[0.766, 0.852, 0.922, 0.988, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];841.8499214972735;0
10;100;7;[0.745, 0.844, 0.918, 0.988, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];934.4848957149175;0
10;100;8;[0.728, 0.837, 0.915, 0.987, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];1009.7125033506823;0
